labels,category
0,Sup-F
1,Sup-F
2,Sup-F
3,Sup-F
4,Sup-F
5,Sup-F
6,Sup-F
7,Sup-F
8,Sup-F
9,Sup-F
10,Sup-F
11,Sup-F
12,Sup-F
13,Sup-F
14,Sup-F
15,Sup-F
16,Sup-F
17,Sup-F
18,Sup-F
19,Sup-F
20,Sup-F
21,Sup-F
22,Sup-F
23,Sup-F
24,Sup-F
25,Sup-F
26,Sup-F
27,Sup-F
28,Sup-F
29,Sup-F
30,Sup-F
31,Sup-F
32,Sup-F
33,Sup-F
34,Sup-F
35,Sup-F
36,Sup-F
37,Sup-F
38,Sup-F
39,Sup-F
40,Sup-F
41,Sup-F
42,Sup-F
43,Sup-F
44,Sup-F
45,Sup-F
46,Sup-F
47,Sup-F
48,Sup-F
49,Sup-F
50,Sup-F
51,Sup-F
52,Sup-F
53,Sup-F
54,Sup-F
55,Sup-F
56,Sup-F
57,Sup-F
58,Sup-F
59,Sup-F
60,Sup-F
61,Sup-F
62,Sup-F
63,Sup-F
64,Sup-F
65,Sup-F
66,Sup-F
67,Sup-F
68,Sup-F
69,Sup-F
70,Sup-F
71,Sup-F
72,Sup-F
73,Sup-F
74,Sup-F
75,Sup-F
76,Sup-F
77,Sup-F
78,Sup-F
79,Sup-F
80,Sup-F
81,Sup-FP
82,Sup-FP
83,Sup-FP
84,Sup-FP
85,Sup-FP
86,Sup-FP
87,Sup-FP
88,Sup-FP
89,Sup-FP
90,Sup-FP
91,Sup-O
92,Sup-O
93,Sup-O
94,Sup-O
95,Sup-O
96,Sup-O
97,Sup-O
98,Sup-OT
99,Sup-OT
100,Sup-OT
101,Sup-OT
102,Sup-OT
103,Sup-OT
104,Sup-OT
105,Sup-P
106,Sup-P
107,Sup-P
108,Sup-P
109,Sup-P
110,Sup-P
111,Sup-P
112,Sup-P
113,Sup-P
114,Sup-P
115,Sup-P
116,Sup-P
117,Sup-P
118,Sup-P
119,Sup-P
120,Sup-P
121,Sup-P
122,Sup-P
123,Sup-P
124,Sup-P
125,Sup-P
126,Sup-P
127,Sup-P
128,Sup-P
129,Sup-P
130,Sup-P
131,Sup-P
132,Sup-P
133,Sup-P
134,Sup-P
135,Sup-P
136,Sup-P
137,Sup-P
138,Sup-P
139,Sup-P
140,Sup-P
141,Sup-P
142,Sup-P
143,Sup-P
144,Sup-P
145,Sup-PO
146,Sup-PO
147,Sup-PO
148,Sup-PO
149,Sup-PO
150,Sup-PO
151,Sup-PO
152,Sup-PO
153,Sup-PO
154,Sup-PO
155,Sup-PO
156,Sup-PT
157,Sup-PT
158,Sup-PT
159,Sup-PT
160,Sup-PT
161,Sup-PT
162,Sup-PT
163,Sup-PT
164,Sup-PT
165,Sup-PT
166,Sup-PT
167,Sup-PT
168,Sup-PT
169,Sup-PT
170,Sup-PT
171,Sup-PT
172,Sup-PT
173,Sup-PT
174,Sup-PT
175,Sup-PT
176,Sup-PT
177,Sup-PT
178,Sup-PT
179,Sup-PT
180,Sup-T
181,Sup-T
182,Sup-T
183,Sup-T
184,Sup-T
185,Sup-T
186,Sup-T
187,Sup-T
188,Sup-T
189,Sup-T
190,Sup-T
191,Sup-T
192,Sup-T
193,Sup-T
194,Sup-T
195,Sup-T
196,Sup-T
197,Sup-T
